mid-June; lawsuit; anti-abortion advocates.; country.; police.; martial-arts weapon; police; compliance.; nunchakus; Hundreds; Los Angeles Police Department; demonstrator; persistent complaints; serious injury; numerous suits; double standard.; widespread calls; national movement; national conscience; recent months
weeks; prospects; pact; Republican establishment; fast-track procedure; US; support; sentiment; MTN Coalition; retirements; action; environment/farm; year; many polls; public disaffection; support; North American free trade agreement; Democratic leadership; politics; Canada
Sir; Mr James Skinner; Letters; argument; charges; self-centred sentiment; April; principal thrust; statistics; misuse; initial transfer; local mores; material achievement; official lenders; institutions; possibilities; skills; statistics; life; level
Hurricane Joan; mph winds; open Caribbean today; unusual southern path; forecasters; today; hug; potential strength; deep-ocean water; report; town; many hurricanes; Preliminary reports; possible landfall; baffling forecasters; Water; forecasters; town; meteorologist; state government administrator
Thousands; acres; brush; states; reburns; threatening homes; timber; day; smoke Saturday; West; firefighters; Mother Nature; interior Alaska; people; torch; Wyo.; Mary Plumb; big fires; Wyo.; areas
Elizabeth Taylor; hospital; weeks; fifth week; recovery; complications; doctors; Friday; week; treatment; sinus infection; doctors; yeast infection; Hospital; Chen Sam; condition; New York publicist; condition; Oscar-winning star; death
Atlantic hurricane season; today; dire warnings; killer storms; '40s; improvements; Nov.; East; officials; new era; long-term trends; harbingers; report; destructive storms; people; Mexico; decade; states; destruction; year
jet trainer; Sunday; flight deck; people; two-seat T-2 Buckeye; sailors; several fires; Mexico; Navy; many people; aircraft carrier Lexington; Navy helicopters; control; Gulf; damaging several aircraft; officials; Navy; Miss.; crash; Navy
study; hormone; pancreases; new treatments; diabetics; research; reseachers; scientist; Pi-Sunyer; common form; scientific study; final cause; major part; Scientists; disease; disease process; new work; hormone research; presentation; evidence
U.S. military jet; today; forested area; northern Japan; F-16C; pilot; Vanedoe; U.S. official; state; helicopter; U.S. aircraft; American military base; pilot; officials; home town; condition; investigation; Police; anonymity; routine training flight
Ben Johnson; world record; 100-meter dash; Wednesday; Carl Lewis; actions; seven-year involvement; Jamie Astaphan; records; many U.S. track; results; records; Ollan Cassell; athletes; aftermath; action; championships; Canada; injections; Canadian inquiry
Ben Johnson; homecoming; seclusion; hero; tact; Canadians; gilt-edged moment; Olympic gold medal; reporters; Chaos; people; fate; people; reporters; gold; Canadian teams; sprinter; grueling trip; home; public
State; President Reagan; Union address last January; welfare reform; charges; administration; years; priority; momentum; lasting emancipation; politician; success; initiatives; immediate action; plans; welfare-reform movement; anti-poverty programs; experiment; latitude; current system
